team_name,state,team_id,season_id,event_id,tournament_id,source_tournament,event_matches_url_without_session
Air Force,CO,758758150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758758150
American,DC,758761150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758761150
Appalachian State,NC,758763150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758763150
Arizona State,AZ,758764150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758764150
Army West Point,NY,758765150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758765150
Bellarmine,KY,758743150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758743150
Binghamton,NY,758772150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758772150
Bloomsburg,PA,758773150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758773150
Brown,RI,758776150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758776150
Bucknell,PA,758777150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758777150
