"source_index","record_type","primary_id","event_id","dual_id","format_code","format_label","start_date","end_date","event_name","location_state","tournament_system","tournament_id","winner_side","winner_team_id","winner_team_name","team_1_id","team_1_name","team_1_state","team_1_score","team_2_id","team_2_name","team_2_state","team_2_score","season_id","results_url_template"
"51","standalone_dual","9033930132","","9033930132","","standalone_dual","2026-02-22","2026-02-22","Northern Iowa vs Wisconsin","IA","","","1","758884150","Northern Iowa","758884150","Northern Iowa","IA","16","758954150","Wisconsin","WI","15","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=9033930132&teamId={TEAM_ID}"
"52","standalone_dual","8707952132","","8707952132","","standalone_dual","2026-02-22","2026-02-22","Brown vs Harvard","RI","","","2","758823150","Harvard","758776150","Brown","RI","16","758823150","Harvard","MA","26","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707952132&teamId={TEAM_ID}"
"53","standalone_dual","8709628132","","8709628132","","standalone_dual","2026-02-21","2026-02-21","Lock Haven vs West Virginia","PA","","","2","758947150","West Virginia","758844150","Lock Haven","PA","15","758947150","West Virginia","WV","21","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8709628132&teamId={TEAM_ID}"
"54","standalone_dual","8707110132","","8707110132","","standalone_dual","2026-02-21","2026-02-21","American vs Drexel","DC","","","1","758761150","American","758761150","American","DC","21","758808150","Drexel","PA","12","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707110132&teamId={TEAM_ID}"
"55","standalone_dual","8706115132","","8706115132","","standalone_dual","2026-02-21","2026-02-21","Arizona State vs Lehigh","AZ","","","1","758764150","Arizona State","758764150","Arizona State","AZ","24","758842150","Lehigh","PA","11","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8706115132&teamId={TEAM_ID}"
"56","standalone_dual","8707752132","","8707752132","","standalone_dual","2026-02-21","2026-02-21","California Baptist vs CSU Bakersfield","CA","","","1","758781150","California Baptist","758781150","California Baptist","CA","30","758805150","CSU Bakersfield","CA","12","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707752132&teamId={TEAM_ID}"
"57","standalone_dual","8703949132","","8703949132","","standalone_dual","2026-02-21","2026-02-21","Ohio vs Buffalo","OH","","","2","758779150","Buffalo","758888150","Ohio","OH","16","758779150","Buffalo","NY","22","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8703949132&teamId={TEAM_ID}"
"58","standalone_dual","8707382132","","8707382132","","standalone_dual","2026-02-21","2026-02-21","Brown vs Sacred Heart","RI","","","1","758776150","Brown","758776150","Brown","RI","22","758910150","Sacred Heart","CT","18","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707382132&teamId={TEAM_ID}"
"59","tournament_event","8708191132","8708191132","","I","individual","2026-02-21","2026-02-21","Futures","MI","O","931061132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8708191132&teamId={TEAM_ID}"
"60","tournament_event","8708891132","8708891132","","I","individual","2026-02-21","2026-02-21","Cardinal Invite","NY","O","972430132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8708891132&teamId={TEAM_ID}"
"61","tournament_event","8707577132","8707577132","","I","individual","2026-02-21","2026-02-21","Cowboy Shootout","WY","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8707577132&teamId={TEAM_ID}"
"62","tournament_event","8999866132","8999866132","","I","individual","2026-02-21","2026-02-21","MEC Futures Tournament","WV","O","972858132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999866132&teamId={TEAM_ID}"
"63","standalone_dual","8703630132","","8703630132","","standalone_dual","2026-02-21","2026-02-21","Utah Valley vs Nebraska","UT","","","2","758871150","Nebraska","758936150","Utah Valley","UT","6","758871150","Nebraska","NE","32","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8703630132&teamId={TEAM_ID}"
"64","standalone_dual","8706720132","","8706720132","","standalone_dual","2026-02-20","2026-02-20","Virginia Tech vs Duke","VA","","","1","758938150","Virginia Tech","758938150","Virginia Tech","VA","26","758810150","Duke","NC","17","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8706720132&teamId={TEAM_ID}"
"65","standalone_dual","8704131132","","8704131132","","standalone_dual","2026-02-20","2026-02-20","Jamestown (N.D.) vs Minnesota State Moorhead","ND","","","2","758863150","Minnesota State Moorhead","770120150","Jamestown (N.D.)","ND","10","758863150","Minnesota State Moorhead","MN","36","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8704131132&teamId={TEAM_ID}"
"66","standalone_dual","8703636132","","8703636132","","standalone_dual","2026-02-20","2026-02-20","NC State vs Cornell","NC","","","1","758878150","NC State","758878150","NC State","NC","19","758803150","Cornell","NY","18","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8703636132&teamId={TEAM_ID}"
"67","standalone_dual","8704941132","","8704941132","","standalone_dual","2026-02-20","2026-02-20","North Carolina vs Stanford","NC","","","2","758924150","Stanford","758877150","North Carolina","NC","6","758924150","Stanford","CA","28","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8704941132&teamId={TEAM_ID}"
"68","standalone_dual","8708042132","","8708042132","","standalone_dual","2026-02-20","2026-02-20","Michigan State vs Central Michigan","MI","","","2","758786150","Central Michigan","758858150","Michigan State","MI","15","758786150","Central Michigan","MI","19","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8708042132&teamId={TEAM_ID}"
"69","standalone_dual","8708030132","","8708030132","","standalone_dual","2026-02-20","2026-02-20","Davidson vs Campbell","NC","","","1","758806150","Davidson","758806150","Davidson","NC","26","758782150","Campbell","NC","17","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8708030132&teamId={TEAM_ID}"
"70","standalone_dual","8708773132","","8708773132","","standalone_dual","2026-02-20","2026-02-20","Maryland vs Drexel","MD","","","1","758850150","Maryland","758850150","Maryland","MD","19","758808150","Drexel","PA","19","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8708773132&teamId={TEAM_ID}"
"71","standalone_dual","9033554132","","9033554132","","standalone_dual","2026-02-20","2026-02-20","Northern Illinois vs SIU Edwardsville","IL","","","2","758918150","SIU Edwardsville","758883150","Northern Illinois","IL","15","758918150","SIU Edwardsville","IL","16","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=9033554132&teamId={TEAM_ID}"
"72","standalone_dual","8708272132","","8708272132","","standalone_dual","2026-02-20","2026-02-20","Pittsburgh vs Virginia","PA","","","1","758900150","Pittsburgh","758900150","Pittsburgh","PA","37","758937150","Virginia","VA","0","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8708272132&teamId={TEAM_ID}"
"73","standalone_dual","8707375132","","8707375132","","standalone_dual","2026-02-20","2026-02-20","Navy vs Army West Point","MD","","","2","758765150","Army West Point","758870150","Navy","MD","18","758765150","Army West Point","NY","19","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707375132&teamId={TEAM_ID}"
"74","standalone_dual","8709403132","","8709403132","","standalone_dual","2026-02-20","2026-02-20","Penn State vs Princeton","PA","","","1","758898150","Penn State","758898150","Penn State","PA","50","758903150","Princeton","NJ","0","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8709403132&teamId={TEAM_ID}"
"75","standalone_dual","8839082132","","8839082132","","standalone_dual","2026-02-20","2026-02-20","Indiana vs Purdue","IN","","","1","758828150","Indiana","758828150","Indiana","IN","20","758904150","Purdue","IN","16","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8839082132&teamId={TEAM_ID}"
"76","standalone_dual","8703729132","","8703729132","","standalone_dual","2026-02-19","2026-02-19","Edinboro vs Bloomsburg","PA","","","1","758812150","Edinboro","758812150","Edinboro","PA","28","758773150","Bloomsburg","PA","10","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8703729132&teamId={TEAM_ID}"
"77","standalone_dual","8703898132","","8703898132","","standalone_dual","2026-02-19","2026-02-19","Gardner-Webb vs George Mason","NC","","","2","758821150","George Mason","758820150","Gardner-Webb","NC","14","758821150","George Mason","VA","32","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8703898132&teamId={TEAM_ID}"
"78","standalone_dual","8709639132","","8709639132","","standalone_dual","2026-02-19","2026-02-19","Kent State vs Lock Haven","OH","","","2","758844150","Lock Haven","758836150","Kent State","OH","3","758844150","Lock Haven","PA","37","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8709639132&teamId={TEAM_ID}"
"79","standalone_dual","8999724132","","8999724132","","standalone_dual","2026-02-19","2026-02-19","Mercyhurst vs Bloomsburg","PA","","","2","758773150","Bloomsburg","758855150","Mercyhurst","PA","0","758773150","Bloomsburg","PA","54","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8999724132&teamId={TEAM_ID}"
"80","standalone_dual","8705282132","","8705282132","","standalone_dual","2026-02-19","2026-02-19","Penn vs Rider","PA","","","1","758899150","Penn","758899150","Penn","PA","22","758906150","Rider","NJ","18","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8705282132&teamId={TEAM_ID}"
"81","standalone_dual","8707243132","","8707243132","","standalone_dual","2026-02-19","2026-02-19","Glenville State vs Salem","WV","","","1","758988150","Glenville State","758988150","Glenville State","WV","49","759010150","Salem","WV","6","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707243132&teamId={TEAM_ID}"
"82","tournament_event","8790320132","8790320132","","D","dual_tournament","2026-02-19","2026-02-19","Edinboro/Bloomsburg/Mercyhurst Tri","PA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8790320132&teamId={TEAM_ID}"
"83","standalone_dual","8708900132","","8708900132","","standalone_dual","2026-02-18","2026-02-18","St. John Fisher vs Ithaca","NY","","","2","758832150","Ithaca","758996150","St. John Fisher","NY","12","758832150","Ithaca","NY","29","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8708900132&teamId={TEAM_ID}"
"84","standalone_dual","8706447132","","8706447132","","standalone_dual","2026-02-18","2026-02-18","Hofstra vs Rutgers","NY","","","2","758909150","Rutgers","758825150","Hofstra","NY","3","758909150","Rutgers","NJ","45","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8706447132&teamId={TEAM_ID}"
"85","standalone_dual","8707491132","","8707491132","","standalone_dual","2026-02-17","2026-02-17","Kutztown vs East Stroudsburg","PA","","","1","758839150","Kutztown","758839150","Kutztown","PA","46","758811150","East Stroudsburg","PA","0","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707491132&teamId={TEAM_ID}"
"86","standalone_dual","8708887132","","8708887132","","standalone_dual","2026-02-17","2026-02-17","Brockport vs Cortland State","NY","","","1","758775150","Brockport","758775150","Brockport","NY","23","758926150","Cortland State","NY","22","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8708887132&teamId={TEAM_ID}"
"87","standalone_dual","8704889132","","8704889132","","standalone_dual","2026-02-17","2026-02-17","Wilkes vs Misericordia","PA","","","2","759014150","Misericordia","758952150","Wilkes","PA","12","759014150","Misericordia","PA","30","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8704889132&teamId={TEAM_ID}"
"88","standalone_dual","8709402132","","8709402132","","standalone_dual","2026-02-16","2026-02-16","Rutgers vs Princeton","NJ","","","1","758909150","Rutgers","758909150","Rutgers","NJ","28","758903150","Princeton","NJ","9","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8709402132&teamId={TEAM_ID}"
"89","tournament_event","8703370132","8703370132","","D","dual_tournament","2026-02-15","2026-02-15","GLVC Championship","IL","T","947255132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8703370132&teamId={TEAM_ID}"
"90","tournament_event","8987488132","8987488132","","I","individual","2026-02-15","2026-02-15","NEWA Futures","CT","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987488132&teamId={TEAM_ID}"
